大越史記本紀續編卷之十六	Đại Việt Sử Ký Bản Kỷ Tục Biên quyển chi thập lục.
五月十二日遂逼絞帝崩	Ngũ nguyệt, thập nhị nhật, toại bức giảo Đế băng.
後追尊爲惠皇	Hậu truy tôn vi Huệ Hoàng..
帝廟號敬宗	Đế, miếu hiệu Kính Tông.
六月皇子即位于勤政殿改元爲永祚元年	Lục nguyệt, Hoàng tử tức vị vu Cần Chính điện, cải nguyên vi Vĩnh Tộ nguyên niên.
大赦	Đại xá.
初萬郡公鄭椿隂謀射殺王父至是黎弼四劾之仍監于内府	Sơ, Vạn quận công Trịnh Xuân âm mưu xạ sát Vương phụ, chí thị, Lê Bật Tứ hặc chi, nhưng giam vu nội phủ.
神宗淵皇帝上諱維祺敬宗長子也在位二十五年遂位六年復位十三年壽五十六歳而崩塟群玉陵帝隆準龍顔聰明博覧深畧緯文可然宫闈無制敎感浮屠此其所短?	Thần Tông Uyên Hoàng Đế thượng, [huý Duy Kì, Kính Tông trưởng tử dã, tại vị nhị thập ngũ niên, toại vị lục niên, phục vị thập tam niên, thọ ngũ thập lục tuế nhi băng, táng Quần Ngọc lăng. Đế long chuẩn, long nhan, thông minh bác lãm, thâm lược, vĩ văn, khả Nhiên cung vi vô chế, giáo cảm phù đồ, thử kì sở đoản dã].
稱令辟	xứng lệnh tịch.
其母端慈皇太后鄭氏玉楨乃尚父平安王之次女也以弘定八年丁未十一月十九日	Kì mẫu Đoan Từ Hoàng thái hậu Trịnh Thị Ngọc Trinh, nãi thượng phụ Bình An Vương chi thứ nữ dã, dĩ Hoằng Định bát niên, Đinh Mùi thập nhất nguyệt, thập cửu nhật..
誕生	đản sinh.
及敬宗崩平安王尊立爲帝以誕日爲壽陽聖節	Cập Kính Tông băng, Bình An Vương tôn lập vi đế, dĩ đản nhật vi Thọ Dương thánh tiết.
庚申永祚二年明萬曆十八年	Canh Thân, Vĩnh Tộ nhị niên, [Minh Vạn Lịch thập bát niên].
四明神宗崩太子光宗即位纔六月而崩	tứ Minh Thần Tông băng, Thái tử Quang Tông tức vị, tài lục nguyệt nhi băng.
熹宗遂即位改元天啓	Hi Tông toại tức vị, cải nguyên Thiên Khải.
遣正使阮世標阮珙副使裴文彪吳仁澈阮奎阮俊等二部如明歳貢	Khiển chánh sứ Nguyễn Thế Tiêu, Nguyễn Cung, phó sứ Bùi Văn Bưu, Ngô Nhân Triệt, Nguyễn Khuê, Nguyễn Tuấn đẳng nhị bộ như Minh tuế cống.
辛酉三年明熹宗啓元年	Tân Dậu tam niên, [Minh Hi Tông Khải nguyên niên].
天秋八月東方有白虹長半天	Thiên Thu, bát nguyệt, Đông phương hữu bạch vồng, trường bán thiên.
壬戌四年明天二年	Nhâm Tuất tứ niên, [Minh Thiên nhị niên].
啓秋八月天大雨内城頺壞六七處凣三十餘丈	Khải Thu, bát nguyệt, thiên đại vũ, nội thành đồi hoại lục thất xứ phàm tam thập dư trượng.
癸亥五年明天三年	Quý Hợi ngũ niên, [Minh Thiên tam niên].
啓春會試天下士人	Khải Xuân, Hội thí thiên hạ sĩ nhân.
取合格范不建等七名	Thủ hợp cách Phạm Bất Kiến đẳng thất danh.
夏四月殿試貢士	Hạ, tứ nguyệt, Điện thí cống sĩ.
時弘化月圓人阮秩潜借人代行文事覺	Thời Hoằng Hoá, Nguyệt Viên nhân Nguyễn Trật tiềm tá nhân đại hành văn, sự giác.
上不悅故是科不賜黄榜	Thượng bất duyệt, Cố thị khoa bất tứ hoàng bảng.
五月報天寺門石井無故填壞	Ngũ nguyệt, Báo Thiên tự môn thạch tỉnh vô cố điền hoại.
六月平安王感冐乃與文武百官謀擇世子	Lục nguyệt, Bình An Vương cảm mạo, nãi dữ văn vũ bá quan mưu trạch Thế tử.
十七日朝臣謹奏以王世子太傅清郡公鄭𭫨掌兵權又以次子太保萬郡公鄭椿副掌兵權	thập thất nhật, triều thần cẩn tấu dĩ Vương thế tử Thái phó Thanh quận công Trịnh Tráng chưởng binh quyền, hựu dĩ thứ tử Thái bảo Vạn quận công Trịnh Xuân phó chưởng binh quyền.
十八日鄭椿自率本兵象馬銃磾排捶横亭處使奠郡蟠郡等将兵破入内府掠取象馬金銀財物逼	Thập bát nhật, Trịnh Xuân tự suất bản binh, tượng mã, súng đạn bài thuỳ Hoành Đình xứ, sử Điện quận, Bàn quận đẳng tướng binh phá nhập nội phủ, lược thủ tượng mã, kim ngân tài vật, bức..
王出遷于城外因縱火延燒京畿各處	Vương xuất thiên vu thành ngoại, nhân túng hoả diên thiêu kinh kì các xứ.
時掌監岳郡公裴士林見事變挺身扶王於危疑之󰟸	Thời chưởng giám Nhạc quận công Bùi Sĩ Lâm kiến sự biến, đĩnh thân phù Vương ư nguy nghi chi khoảnh.
是日王世子鄭𭫨與群臣恊謀乃使其弟太保勇郡公鄭楷奉迎聖駕扈從調護	Thị nhật, Vương thế tử Trịnh Tráng dữ quần thần hiệp mưu, nãi sử kì đệ Thái bảo Dũng quận công Trịnh Khải phụng nghênh Thánh giá hộ tòng điều hộ.
王世子鄭𭫨會文武百官于清池縣仁睦市論行軍務	Vương thế tử Trịnh Tráng hội văn võ bá quan vu Thanh Trì huyện, Nhân Mục thị, luận hành quân vụ.
時平安王播遷于清池縣黄梅社舘泊處使裴仕林衛入親弟奉國公鄭杜營誘鄭椿入授以大權	Thời, Bình An Vương bá thiên vu Thanh Trì huyện, Hoàng Mai xã, Quán Bạc xứ, sử Bùi Sĩ Lâm vệ nhập thân đệ Phụng quốc công Trịnh Đỗ dinh, dụ Trịnh Xuân nhập, thụ dĩ đại quyền.
椿啣草伏庭	Xuân hàm thảo phục đình.
王数以亂臣賊子之罪乃令仕林差人斷椿脚足而死	Vương sổ dĩ loạn thần tặc tử chi tội, nãi lệnh Sĩ Lâm sai nhân đoạn Xuân cước túc nhi tử.
於是鄭杜使親男碩郡公	Ư thị, Trịnh Đỗ sử thân nam Thạc quận công..
缺名赴迎世子鄭𭫨就本營	[khuyết danh] phó nghênh Thế tử Trịnh Tráng tựu bản doanh.
世子鄭𭫨乃與碩郡同象而行	Thế tử Trịnh Tráng nãi dữ Thạc quận đồng tượng nhi hành.
時劉廷質洞知鄭杜父子隂謀不軌乃趨步追及諫曰碩郡是乃逆賊明公不可與之偕行	Thời, Lưu Đình Chất đỗng tri Trịnh Đỗ phụ tử âm mưu bất quỹ, nãi xu bộ truy cập, gián viết: "Thạc quận thị nãi nghịch tặc, minh công bất khả dữ chi giai hành.
公始悟遂令碩郡歸營自整兵馬回駐于寧江	" Công thuỷ ngộ, toại lệnh Thạc quận quy doanh, tự chỉnh binh mã hồi trú vu Ninh Giang.
二十日仕林護王至青威縣青春舘	Nhị Thập nhật, Sĩ Lâm hộ Vương chí Thanh Oai huyện, Thanh Xuân quán.
王薨二十五日世子鄭𭫨迎就寧江發䘮乃令治郡公缺名整船十三隻奉迎梓宫順行水道歸塟	Vương hoăng nhị thập ngũ nhật, Thế tử Trịnh Tráng nghênh tựu Ninh Giang phát tang, nãi lệnh Trị quận công [khuyết danh] chỉnh thuyền thập tam chích, phụng nghênh tử cung, thuận hành thuỷ đạo quy táng.
因親率文武百官及天下諸營竒共扶皇上從經道由金榜縣不奪社出正路回清華以圖寧	Nhân thân suất văn võ bá quan cập thiên hạ chư dinh kì cộng, phù hoàng thượng tòng kinh đạo do Kim Bảng huyện, Bất Đoạt xã, xuất chính lộ hồi Thanh Hoa dĩ đồ ninh..
輯	tập.
秋八月帝進封王世子太傅清郡公鄭𭫨恊謀同德功臣都將節制各處水步諸營兼總内外平章軍國重事太尉清國公委以裁决機務	Thu, bát nguyệt, Đế tấn phong Vương thế tử Thái phó Thanh quận công Trịnh Tráng Hiệp mưu đồng đức công thần đô tướng tiết chế các xứ thuỷ bộ chư dinh kiêm tổng nội ngoại bình chương quân quốc trọng sự, Thái uý Thanh quốc công, uỷ dĩ tài quyết cơ vụ.
是時莫敬寬僭號隆泰竊㨿高平日久聞國中有變乃嘯聚山林氓隷之徒乘虚直抵嘉林屯駐于東畬土塊地方	Thị thời, Mạc Kính Khoan tiếm hiệu Long Thái, thiết cứ Cao Bằng nhật cửu, văn quốc trung hữu biến, nãi khiếu tụ sơn lâm manh lệ chi đồ, thừa hư trực để Gia Lâm, đồn trú vu Đông Dư, Thổ Khối địa phương.
烏合響應者殆以萬數人情騷擾方民不得休息	Ô hợp hưởng ứng giả đãi dĩ vạn số, nhân tình tao nhiễu, phương dân bất đắc hưu tức.
八月節制太尉清國公鄭𭫨欽奉皇上命親提諸軍進發	Bát nguyệt, Tiết chế thái uý Thanh quốc công Trịnh Tráng khâm phụng Hoàng thượng mệnh, thân đề chư quân tiến phát.
二十一日擊破春光賊於株橋賊兵敗走	Nhị thập nhất nhật, kích phá Xuân Quang tặc ư Chu Kiều, tặc binh bại tẩu.
二十六日	Nhị thập lục nhật,..
大兵進至珥河水步相接大破敬寬於嘉林地方斬殺甚眾	đại binh tiến chí Nhĩ Hà, thuỷ bộ tương tiếp, đại phá Kính Khoan ư Gia Lâm địa phương, trảm sát thậm chúng.
敬寬僅以身免遁入山林	Kính Khoan cận dĩ thân miễn độn nhập sơn lâm.
於是天下人民復按堵如故京城宮禁爲之肅清	Ư thị, thiên hạ nhân dân phục án đổ như cố, Kinh thành cung cấm vị chi tiêu thanh.
節制太尉清國公鄭𭫨以天下既定乃命陪從户部左侍郎衍嘉侯黎弼四與掌監太保岳郡公裴仕林等回清華奉迎聖駕進御京城	Tiết chế thái uý Thanh Quốc công Trịnh Tráng dĩ thiên hạ ký định, nãi mệnh Bồi tụng Hộ bộ Tả thị lang Diễn Gia hầu Lê Bật Tứ dữ chưởng giám Thái bảo Nhạc quận công Bùi Sĩ Lâm đẳng hồi Thanh Hoa phụng nghênh thánh giá tiến ngự Kinh thành.
群臣皆朝賀	Quần thần giai triều hạ.
自是天下晏然無事矣	Tự thị, thiên hạ yến nhiên vô sự hĩ.
冬十一月十一日册封節制太尉清國公鄭𭫨爲元帥統國政清都王	Đông, thập nhất nguyệt, thập nhất nhật, sách phong Tiết chế thái uý Thanh Quốc công Trịnh Tráng vi Nguyên soái thống quốc chính Thanh Đô Vương.
其册文曰皇天運啓中興必生賢以爲	Kì sách văn viết: 'Hoàng thiên vận khải trung hưng, tất sinh hiền dĩ vi..
社稷	xã tắc.
人君權公上出必隆爵以表閲勳亶恊明徵載鏤華册	Nhân quân quyền công thượng xuất, tất long tước dĩ biểu duyệt huân, đản hiệp minh trưng tải lũ hoa sách.
恊謀同德功臣都将節制各處水步諸營兼總内外平章軍國重事太尉清國公鄭𭫨肖前德業冠古英䧺	Hiệp mưu đồng đức công thần đô tướng Tiết chế các xứ thuỷ bộ chư dinh kiêm tổng nội ngoại bình chương quân quốc trọng sự Thái uý Thanh quốc công Trịnh Tráng, tiếu tiền đức nghiệp, quan cổ anh hùng.
掌兵時耀百戦威悉平海内定策日服群心望再造國家炳文茂着坤裳錫寵盍󰏲師命	Chưởng binh thời diệu bách chiến uy, tất bình hải nội; định sách nhật phục quần tâm vọng, tái tạo quốc gia, bỉnh văn mậu trứ Khôn thường tích, sủng hạp kê sư mệnh.
特遣吏部尚書掌六部事兼御史󰉟都御史少傅澧郡公阮文階賫捧金册進封爲元帥統國政清都王受賜冠冕卷服仍錫圭瓚土田	Đặc khiển Lại bộ thượng thư chưởng lục bộ sự kiêm ngự sử đài đô ngự sử thiếu phó Lễ quận công Nguyễn Văn Giai tê bổng kim sách tấn phong vi Nguyên soái Thống quốc chính Thanh Đô Vương, thụ tứ quan, miện, quyển phục, nhưng tích Khuê toản, thổ điền.
尚其守法度保功名慎位各遵	Thượng kì thủ pháp độ, bảo công danh, thận vị các, tuân..
成訓篤忠󰠐膺爵禄宜王永匹顯休	thành huấn, đốc trung thầm ưng tước lộc, nghi vương vĩnh thất hiển hưu.
王其欽哉	Vương kì khâm tai".
甲子六年明天四年啓追封平安王爲恭和寬正哲王	Giáp Tí lục niên, [Minh Thiên tứ niên] Khải truy phong Bình An Vương vi Cung Hoà Khoan Chính Triết Vương.
其册文曰王者光復夏圖丕恢前緒	Kì sách văn viết: "Vương giả quang phục hạ đồ, phi khôi tiền tự.
朝廷肇稱殷禮用表宗工	Triều đình triệu xưng ân lễ, dụng biểu tông công.
蠲榖攸宜鏤金孔耀	quyên cốc du nghi, lũ kim khổng diệu.
都元帥總國政尚父平安王聰明挺達智勇英豪仗仁義拯生靈奠安社稷整乾坤扶日月髙厚德功	Đô nguyên soái tổng quốc chính thượng phụ Bình An Vương, thông minh đĩnh đạt, trí dũng anh hào, trượng nhân nghĩa chửng sinh linh, điện an xã tắc, chỉnh càn khôn phù nhật nguyệt, cao hậu đức công.
後再緯裕於燕謀	Hậu tái vĩ dụ ư yến mưu.
上荅載󰏲於鴻號特遣官賫捧金册追封爲恭和寬正哲王尚其愉怡孚妥相佑扶持惟餘慶施于子孫	Thượng đáp tái kê ư hồng hiệu, đặc khiển quan tê bổng kim sách, truy phong vi Cung Hoà Khoan Chính Triết Vương, thượng kì du di phu thoả, tương hựu phù trì, duy dư khánh thi vu tử tôn.
斯億年綿其祚胤	Tư ức niên miên kì tộ dận.
欽	Khâm..
哉	tai".
乙丑七年明天五年啓秋八月初命官考覈天下士望取阮沂等二十七名任各職	Ất Sửu thất niên, [Minh Thiên ngũ niên], Khải Thu, bát nguyệt, sơ mệnh quan khảo hạch thiên hạ sĩ vọng, thủ Nguyễn Nghi đẳng nhị thập thất danh nhậm các chức.
丙寅八年明天六年啓遣正使阮進用陳瑋副使杜克敬阮自彊裴必勝阮瀨等二部如明歳貢	Bính Dần bát niên, [Minh Thiên lục niên], Khải khiển chánh sứ Nguyễn Tiến Dụng, Trần Vĩ; phó sứ Đỗ Khắc Kính, Nguyễn Tự Cường, Bùi Tất Thắng, Nguyễn Lại đẳng nhị bộ như Minh tuế cống.
丁卯九年明天七年啓春差官賫勅諭順廣太保瑞郡公阮福原曰賢傑之人可共行事功丈夫爲志貴䏻明時勢	Đinh Mão cửu niên, [Minh Thiên thất niên], Khải Xuân, sai quan tê sắc dụ Thuận Quảng Thái bảo Thuỵ quận công Nguyễn Phúc Nguyên viết: "Hiền kiệt chi nhân, khả cộng hành sự công, trượng phu vi chí, quý năng minh thời thế.
竇融自河西納款名在漢廷田興以魏博歸朝勳髙唐社	Đậu Dung tự Hà Tây nạp khoản, danh tại Hán đình; Điền Hưng dĩ Nguỵ Bác quy triều, huân cao Đường xã.
自古賢人君子智炳識	Tự cổ hiền nhân quân tử, trí bỉnh thức..
真所以建功當時流芳後世	chân, sở dĩ kiến công đương thời, lưu phương hậu thế.
我國家應天順人乘時啓運太祖髙皇帝以武功定天下寔資功臣翼賛列聖皇帝以文教致太平亦藉勳舊弼臣所以享國至干長久柰世降中否僞莫上干	Ngã quốc gia ứng thiên thuận nhân, thừa thời khải vận, Thái Tổ Cao Hoàng Đế dĩ vũ công định thiên hạ, thật tư công thần dực tán, liệt thánh hoàng đế, dĩ văn giáo trí thái bình, diệc tạ huân cựu bật thần, sở dĩ hưởng quốc chí can trường cửu, nại thế giáng trung bĩ, nguỵ Mạc thượng can.
幸天命未改人心戴舊	Hạnh thiên mệnh vị cải, nhân tâm đái cựu.
荘宗裕皇帝奮起西土爾祖昭勳靖公恊明康太王整乾坤名垂竹帛	Trang Tông Dụ Hoàng Đế phấn khởi Tây thổ, nhĩ tổ Chiêu Huân Tĩnh Công hiệp Minh Khang Thái Vương chỉnh đốn càn khôn, danh thuỳ trúc bạch.
運啓重亨國家再造	Vận khải trùng hanh, quốc gia tái tạo.
世宗毅皇帝進御中都爾父謹義公賛尚父平安王日參國政計安天下績紀旂常	Thế Tông Nghị Hoàng Đế tiến ngự trung đô, nhĩ phụ Cẩn Nghĩa Công tán thượng phụ Bình An Vương nhật tham quốc chính, kế an thiên hạ, tích kỷ kì thường.
柰以逆臣彦奎等敢抗不忠稱兵	Nại dĩ nghịch thần Ngạn, Khuê đẳng, cảm kháng bất trung, xưng binh..
犯順國内騷驛	phạm thuận, quốc nội tao dịch.
爾父子意欲保全因遷舊鎮	Nhĩ phụ tử ý dục bảo toàn, nhân thiên cựu trấn.
時頼都元帥總國政尚父平安王精忠許國仁義行師討鋤諸逆天下頼以安平再三十年	Thời lại Đô nguyên soái tổng quốc chính Thượng phụ Bình An Vương, tinh trung hứa quốc, nhân nghĩa hành sư, thảo sừ chư nghịch, thiên hạ lại dĩ an bình, tái tam thập niên.
