大越史記本紀實録卷之十一	Đại Việt sử ký bản kỷ thực lục quyển chi thập nhất.
黄伯陽奏占城地方并綏阜地方	Hoàng Bá Dương tấu Chiêm Thành địa phương tịnh Tuy Phụ địa phương.
宋福林進香	Tống Phúc Lâm tiến hương.
黄德良謝賜綵弊	Hoàng Đức Lương tạ tứ thái tệ.
十三日命禮部出敬君榜公侯伯駙馬文武百官󰱥今凡有捧制誥勑命并御寶勑旨係本重	Thập tam nhật, mệnh Lễ bộ xuất kính quân bảng: Công, hầu, bá, phò mã, văn vũ bách quan, kế kim phàm hữu bổng chế cáo sắc mệnh, tịnh ngự bảo sắc chỉ hệ bản trọng..
噐者並两手横捧髙𭁈頭上平捧奏本奏帖等紙者並捧高𭁈靣平	khí giả, tịnh lưỡng thủ hoành bổng cao dữ đầu thượng bình, bổng tấu bản tấu, thiếp đẳng chỉ giả tịnh bổng cao dữ diện bình.
頒降考課例一考課之法三年初考六年再考九年通考通行黜陟	Ban giáng khảo khoá lệ: nhất khảo khoá chi pháp: tam niên sơ khảo, lục niên tái khảo, cửu niên thông khảo thông hành truất trắc.
一皇内外親並開國功臣子孫及武臣前已得官後有軍功在任满考稱職例陞一二品者吏部其本請旨得旨許陞如例	Nhất hoàng nội ngoại thân tịnh khai quốc công thần tử tôn cập vũ thần tiền dĩ đắc quan, hậu hữu quân công, tại nhậm mãn khảo, xứng chức, lệ thăng nhất nhị phẩm giả Lại bộ kì bản thỉnh chỉ đắc chỉ hứa thăng như lệ.
若百姓子白身任官或以白身以戦功得官在任满考称聀例得陞級止許三品不得一二品	Nhược bách tính tử bạch thân nhiệm quan hoặc dĩ bạch thân dĩ chiến công đắc quan, tại nhậm mãn khảo, xứng chức, lệ đắc thăng cấp, chỉ hứa tam phẩm, bất đắc nhất, nhị phẩm.
一九年之内既以别功陞級通考又稱職應	Nhất cửu niên chi nội, ký dĩ biệt công thăng cấp, thông khảo hựu xứng chức, ứng..
陞至二品以上吏部具奏取旨三品以下如例施行	thăng chí nhị phẩm dĩ thượng Lại bộ cụ tấu thủ chỉ, tam phẩm dĩ hạ như lệ thi hành.
一各衙門任满三考僃將任内行過事蹟無有過犯等	Nhất các nha môn nhậm mãn tam khảo bị tương nhiệm nội hành, quá sự tích vô hữu quá phạm đẳng.
由僃呈該長官從公考覈以見任為始	Do bị trình cai trưởng quan tòng công khảo hạch, dĩ kiến nhiệm vi thuỷ.
試官满三年受實職准為初考	Thí quan mãn tam niên thụ thực chức chuẩn vi sơ khảo.
任内有過犯不應考課及非軍功特陞者自過犯并特陞之後再定為初考	Nhậm nội hữu quá phạm, bất ứng khảo khoá, cập phi quân công đặc thăng giả tự quá phạm tịnh đặc thăng chi hậu tái định vi sơ khảo.
僃将称職平常不称聀逐項定爲考課	Bị tương xứng chức, bình thường, bất xứng chức, trục hạng định vi khảo khoá.
又詳開行過事蹟無有過犯等由僃呈該知衙門覈考送吏部收照	Hựu tường khai hành quá sự tích, vô hữu quá phạm đẳng, do bị trình cai tri nha môn hạch khảo, tống Lại bộ thu chiếu.
俟满九年通考該官付将前後任内每考行過事蹟考定詞	Sĩ mãn cửu niên thông khảo, cai quan phó tướng tiền hậu nhậm nội mỗi khảo hành quá sự tích khảo định từ..
語隨其官聀輕重或奏送或留送	ngữ, tuỳ kì quan chức khinh trọng, hoặc tấu tống, hoặc lưu tống.
吏部參照前後繁簡各考如例具奏施行	Lại bộ tham chiếu tiền hậu phồn giản các khảo, như lệ cụ tấu thi hành.
某衙門詐妄𢫔著公䏻隐匿罪犯該官不䏻檢覈欺蔽相容吏部詳查檢送問	Mỗ nha môn trá vọng, thiện trước công năng, ẩn nặc tội phạm, cai quan bất năng kiểm hạch, khi tế tương dung, Lại bộ tường tra kiểm tống vấn.
若有其材異䏻特旨陞除不拘此例	Nhược hữu kì tài dị năng, đặc chỉ thăng trừ, bất câu thử lệ.
定官吏遷陞代交令	Định quan lại thiên thăng đại giao lệnh.
己酉二十年明弘治二年	Kỉ Dậu nhị thập niên [Minh Hoằng Trị nhị niên ].
春正月定保󰁮刑部司官例	Xuân chính nguyệt, định bảo cử Hình bộ ti quan lệ.
勑旨刑獄之事所係匪輕鞠勘之官當慎其󰱇	Sắc chỉ: hình ngục chi sự sở hệ phỉ khinh, cúc khám chi quan đương thận kì tuyển.
自今刑部郎中貟外有鈌幾貟吏部具本内則六部御史󰱑堂上官六寺卿外則承憲二司等	Tự kim, Hình bộ Lang trung viên ngoại hữu khuyết kỷ viên, Lại bộ cụ bản, nội tắc Lục bộ, Ngự sử đài đường thượng quan, Lục tự khanh; ngoại tắc Thừa, Hiến nhị ti đẳng..
官公同保󰁮所知及該各衙門官曾歷二考以上廉𣸲練達諳曉刑名者六部一本板處承憲二司每處一本開註保󰁮者姓名明白具本得㫖送吏部銓除	quan, công đồng bảo cử sở tri cập cai các nha môn quan tằng lịch nhị khảo dĩ thượng, liêm khiết, luyện đạt, am hiểu hình danh giả lục bộ nhất bản, bản xứ Thừa, Hiến nhị ti mỗi xứ nhất bản, khai chú bảo cử giả tính danh minh bạch, cụ bản, đắc chỉ tống Lại bộ thuyên trừ.
敢有容私殉貨保󰁮非人六科監察御史體察得實紏弹如律治罪	Cảm hữu dung tư tuẫn hoá, bảo cử phi nhân, lục khoa giám sát Ngự sử thể sát, đắc thực củ đàn, như luật trị tội.
定十三道監察御史分司視事該知衙門	Định thập tam đạo Giám sát ngự sử phân ti thị sự cai tri nha môn.
上諭御使󰱑十三道監察御史曰各恭爾事盤庚所以教在位	Thượng dụ Ngự sử đài thập tam đạo, Giám sát ngự sử viết: "Các cung nhĩ sự" Bàn Canh sở dĩ giáo tại vị.
慎乃攸司成王所以迪厥官盖人臣	"Thận nãi du ti" Thành Vương sở dĩ địch quyết quan cái nhân thần.
事君各司其聀	Sự quân các ti kì chức.
决獄問廷尉錢榖問内史貴有	Quyết ngục vấn Đình uý, tiền cốc vấn Nội sử, quý hữu..
攸㱕	du quy.
矧風憲之司紏察是聀必分属該知之素定則綱維整而有條	Thẩn Phong hiến chi ti củ sát thị chức, tất phân thuộc cai tri chi tố định tắc cương duy chỉnh nhi hữu điều.
󰱥今爾等凡在内官各衙門告贓不法貟人及一切公務利害從該知所按問施行	Kế kim, nhĩ đẳng phàm tại nội quan các nha môn cáo tang, bất pháp viên nhân cập nhất thiết công vụ lợi hại tòng cai tri sở án vấn thi hành.
若在外三司居理百姓或𭛁官吏奸汚或訴獄訟寃抑一應私事係在府縣州者從分司該道准理施行	Nhược tại ngoại tam ti cư lí bách tính, hoặc phát quan lại gian ô, hoặc tố ngục tụng oan ức, nhất ứng tư sự hệ tại phủ, huyện, châu giả tòng phân ti cai đạo chuẩn lí thi hành.
十三日改著會期上班下班并期班序為大集其上番下番	Thập tam nhật, cải trứ hội kì thượng ban, hạ ban, tịnh kì ban tự vi đại tập kì, thượng phiên, hạ phiên.
夏五月大旱	Hạ, ngũ nguyệt, đại hạn.
大赦詔書凡四十九條	Đại xá chiếu thư, phàm tứ thập cửu điều.
禁官貟聚徒耽酒色	Cấm quan viên tụ đồ đam tửu sắc.
六月二十五日定進朝歛手格	Lục nguyệt, nhị thập ngũ nhật, định tiến chiều liễm thủ cách.
詔公侯伯駙馬文武百官󰱥今凡進朝著衣冠歛手在圓領下若護衛著衣歛手在胷下	Chiếu công, hầu, bá, phò mã, văn võ bách quan, kế kim phàm tiến triều, trước y quan liễm thủ tại viên lĩnh hạ, nhược hộ vệ trước y liễm thủ tại hung hạ.
秋七月差指揮校尉公同承宣司䟽决潦水	Thu, thất nguyệt, sai chỉ huy hiệu uý công đồng Thừa tuyên ti sơ quyết liêu thuỷ.
定𭛁軍需九十二條	Định phát quân nhu cửu thập nhị điều.
九月初九日禁戢頑民怨相告興訟事	Cửu nguyệt, sơ cửu nhật, cấm tập ngoan dân oán tương cáo hưng tụng sự.
冬十月十九日遣陪臣阮克恭裴昌澤阮漢廷等徃歳貢于明	Đông thập nguyệt, thập cửu nhật, khiển bồi thần Nguyễn Khắc Cung, Bùi Xương TRạch, Nguyễn Hán Đình đẳng vãng tuế cống vu Minh.
以刘興孝為翰林院侍講參掌翰林院事	Dĩ Lưu Hưng Hiếu vi Hàn lâm viện thị giảng tham chưởng hàn lâm viện sự.
庚戌二十一年明弘治三年	Canh Tuất nhị thập nhất niên [Minh Hoằng Trị tam niên ].
春正月大集軍點目足放回代番留守	Xuân, chính nguyệt, đại tập quân, điểm mục túc phóng hồi, đại phiên lưu thủ.
定土官欠朝賀禮例近者一年二朝賀遠者一年一朝賀	Định thổ quan khiếm triều hạ lễ lệ: cận giả nhất niên nhị triều hạ, viễn giả nhất niên nhất triều hạ.
如正旦不及許聖節	Như chính đán bất cập hứa Thánh Tiết.
欠一遭罷職二遭拿來治罪	Khiếm nhất tao bãi chức, nhị tao nã lai trị tội.
二月遣翰林院科󰱑錦衣衛校尉徃各府縣𭛁官栗𭁈貧民貸食以荆門各府縣耕種不得民多飢死故也	Nhị nguyệt, khiển Hàn lâm viện khoa đài, Cẩm y vệ hiệu uý vãng các phủ, huyện phát quan lật dữ bần dân thải thực, dĩ Kinh Môn các phủ huyện canh chủng bất đắc dân đa cơ tử cố dã.
定遷官交代𪠘宇令	Định thiên quan giao đại giải vũ lệnh.
自今各衙	Tự kim các nha..
門遷陞守制病故之類所居𪠘宇等物交付官吏差人守看待到任官應用	môn thiên thăng thủ chế bệnh cố chi loại, sở cư giải vũ đẳng vật giao phó quan lại sai nhân thủ khán, đãi đáo nhiệm quan ứng dụng.
定降服令	Định giáng phục lệnh.
詔公侯伯駙馬文武百官自今朝廷如有祈察國忌禮宜降服不得擅去花樣或有祈謝者檢問	Chiếu công, hầu, bá, phò mã, văn võ bách quan, tự kim, triều đình như hữu kì sát, quốc kị lễ, nghi hàng phục, bất đắc thiện khứ hoa dạng, hoặc hữu kì tạ giả kiểm vấn.
勑旨各衛司儒指揮宿直應務满考以上果能奉公幹事無過犯該衛長官勘實具本吏部照鈌改除文聀	Sắc chỉ các vệ ti nho chỉ huy, túc trực ứng vụ mãn khảo dĩ thượng quả năng phụng công cán sự, vô quá phạm, cai vệ trưởng quan khám thực cụ bản, Lại bộ chiếu khuyết cải trừ văn chức.
未有满考老劣護衛不堪即揀汰	Vị hữu mãn khảo lão liệt hộ vệ, bất kham tức giản thải.
由可用者改除	Do khả dụng giả cải trừ.
敢有奔𧡟如律治罪以杜士風	Cảm hữu bôn quan như luật trị tội dĩ đỗ sĩ phong..
僥倖	nhiêu hạnh.
三月會試天下󰁮人	Tam nguyệt, hội thí thiên hạ cử nhân.
取阮敲等五十四人敲東岸扶軫人廷試同進士出身	Thủ Nguyễn Xao đẳng ngũ thập tứ nhân [Xao Đông Ngàn, Phù Chẩn nhân đình thí đồng tiến sĩ xuất thân ].
夏四月初五日定天下本圖承宣十三處府五十二縣一百七十八州五十鄕二十坊三十六社六千八百五十一村三百二十二庄六百三十七󰀋四十峝四十原三十塲三十	Hạ, tứ nguyệt, sơ ngũ nhật, định thiên hạ bản đồ: Thừa tuyên thập tam xứ, phủ ngũ thập nhị, huyện nhất bách thất thập bát, châu ngũ thập, hương nhị thập, phường tam thập lục, xã lục thiên bát bách ngũ thập nhất, thôn tam bách nhị thập nhị, trang lục bách tam thập thất, sách tứ thập, động tứ thập, nguyên tam thập, trường tam thập.
其清華乂安順化安󰘊宣光興化各置都司并守禦	Kì Thanh Hoá, Nghệ An, Thuận Hoá, Yên Bang, Tuyên Quang, Hưng Hoá các trí đô ti tịnh thủ ngự.
十九日大赦四十五條以是歳米貴錢一陌米	Thập cửu nhật, đại xá tứ thập ngũ điều, dĩ thị tuế mễ quý, tiền nhất mạch mễ..
得二升故也	đắc nhị thăng cố dã.
殿試上親策	Điện thí, thượng thân sách.
命兵部尚書定功伯鄭功旦刑部尚書黎䏻讓提調御史󰱑副都御史郭有嚴監試東閣大學士申仁忠吏部尚書阮伯驥等讀卷	Mệnh Binh bộ thượng thư Định Công Bá Trịnh Công Đán, Hình bộ thượng thư Lê Năng Nhượng Đề điệu; Ngự sử đài phó đô ngự sử Quách Hữu Nghiêm giám thí; Đông các đại học sĩ Thân Nhân Trung, Lại bộ thượng thư Nguyễn Bá Ký đẳng độc quyển.
上覧次其髙下	Thượng lãm, thứ kì cao hạ.
賜武睿吳焕刘舒彦三名進士及第黎俊懋等十九名進士出身黎廷适等三十二名同進士出身	Tứ Vũ Duệ, Ngô Hoán, Lưu Thư Ngạn tam danh tiến sĩ cập đệ, Lê Tuấn Mậu đẳng thập cửu danh Tiến sĩ xuất thân, Lê Đình Quát đẳng tam thập nhị danh đồng tiến sĩ xuất thân.
五月十四日兵部尚書定功伯鄭公旦𬢱錦衣衛侍衛司著見籍在壮士更番舍人之下	Ngũ nguyệt, thập tứ nhật, Binh bộ thượng thư Định Công Bá, Trịnh Công Đán nghị: Cẩm y vệ thị vệ ti trứ kiến tịch tại Tráng sĩ, Canh phiên, Xá nhân chi hạ.
十八日上御敬天殿臚傳唱進士武睿等名	Thập bát nhật, thượng ngự Kính Thiên Điện, lô truyền xướng tiến sĩ Vũ Duệ đẳng danh.
百官朝服稱賀	Bách quan triều phục xưng hạ.
禮部捧黄榜揭于東華門外	Lễ bộ bổng hoàng bảng yết vu Đông Hoa môn ngoại.
十九日賜冠󰅾衣服	Thập cửu nhật tứ quan đái y phục.
二十日賜宴	Nhị thập nhật tứ yến.
定折社令某社僃五百户而其餘户又得一百户以上将城一小社應投告類奏折為别社以增廣版圖	Định triết xã lệnh, mỗ xã bị ngũ bách hộ nhi kì dư hộ hựu đắc nhất bách hộ dĩ thượng tương thành nhất tiểu xã ứng đầu cáo, loại tấu triết vi biệt xã, dĩ tăng quảng bản đồ.
秋七月定百官進朝例	Thu thất nguyệt, định bách quan tiến triều lệ.
八月十五日立洪德二十一年庚戌科進士題名碑	Bát nguyệt thập ngũ nhật lập Hồng Đức nhị thập nhất niên Canh Tuất khoa tiến sĩ đề danh bi.
二十六日定百官入朝進止例	Nhị thập lục nhật, định bách quan nhập triều tiến chỉ lệ.
九月新置諒山承宣十三䦕如炎山峯山樓山三山是也	Cửu nguyệt, tân trí Lạng Sơn Thừa tuyên thập tam quan, như Viêm Sơn, Phong Sơn, Lâu Sơn, Tam Sơn thị dã.
冬十月置臣武右衛	Đông, thập nguyệt, trí Thần vũ hữu vệ.
考試軍色民人書筭補各衙門吏	Khảo thí quân sắc, dân nhân, thư toán, bổ các nha môn lại.
其試法暗寫一塲書筭一塲	Kì thí pháp ám tả nhất trường, thư toán nhất trường.
十一月廣築鳳城因李陳之制也	Thập nhất nguyệt, quảng trúc Phụng thành, nhân Lí, Trần chi chế dã.
帝懲仁宗遇害𭛁卒築之	Đế trừng Nhân Tông ngộ hại, phát tốt trúc chi.
而九較交塲之外延廣八里凡八月而後成	Nhi cửu giảo giao trường chi ngoại diên quảng bát lí phàm bát nguyệt nhi hậu thành.
乃造名保殿又立上林苑中有鹿獸	Nãi tạo Danh Bảo điện hựu lập Thượng Lâm uyển trung hữu lộc thú.
