大越史記本紀全書卷之一	Đại Việt Sử Ký Bản Kỷ Toàn Thư Quyển Chi Nhất.
又有保武者上皇所親愛然不置之要地非其才也如英宗之於興保云	Hựu hữu Bảo Vũ giả Thượng hoàng sở thân ái, nhiên bất trí chi yêu địa phi kì tài dã, như Anh Tông chi ư Hưng Bảo vân.
戊寅十年元至元四年秋八月大水〇	Mậu Dần thập niên, [Nguyên Chí Nguyên tứ niên,] thu bát nguyệt, đại thuỷ .
冬十月大風房屋大樹多倒壓者〇	Đông thập nguyệt, đại phong phòng ốc đại thụ đa đảo áp giả .
以恭靖王元晫為參預朝政恭定王暊為驃騎上将軍領宣光鎮	Dĩ Cung Tĩnh vương Nguyên trác vi Tham dự triều chính, Cung Định vương phủ vi Phiêu Kị thượng tướng quân lĩnh Tuyên Quang trấn.
己卯十一年元至元五年春改授時曆為懾紀曆時候儀郎太史局令鄧輅以前曆皆名授時請改曰懾	Kỉ Mão thập nhất niên, [Nguyên Chí Nguyên ngũ niên,] xuân, cải Thụ thời lịch vi Hiệp kỷ lịch Thời Hậu nghi lang thái sử cục lệnh Đặng lộ dĩ tiền lịch giai danh Thụ thời thỉnh cải viết Hiệp..
紀帝從之	kỉ Đế tòng chi.
輅山明縣人輅常作玲󰍡儀考驗天象罔不脗合〇	[Lộ Sơn Minh huyện nhân,] lộ thường tác Linh lung nghi khảo nghiệm thiên tượng võng bất vẫn hợp .
秋八月十五日夜上皇子暭乘舟泛西湖溺水得之魚粱中	Thu bát nguyệt, thập ngũ nhật, dạ, Thượng hoàng tử hạo thừa chu phiếm Tây Hồ nịch thuỷ đắc chi ngư lương trung.
上皇命醫人鄒庚療治	Thượng hoàng mệnh y nhân Trâu Canh liệu trị.
庚曰鍼之則復蘇但恐陽痿	Canh viết: Châm chi tắc phục tô đản khủng dương nuy.
鍼之果如其言	Châm chi quả như kì ngôn.
自是人稱庚為鄒神醫	Tự thị nhân xưng Canh vi Trâu thần y.
累遷冠服侯宣徽院大使兼太醫使〇	Luỵ thiên Quan phục hầu Tuyên Huy viện đại sứ kiêm Thái y sứ .
以張漢超為門下右司郎中〇	Dĩ Trương Hán Siêu vi Môn hạ hữu ti lang trung .
仁惠王󰆑餘卒〇	Nhân Huệ Vương Khánh Dư tốt .
是歲熒惑入南斗留一月方出未詳某月辛巳十四年八月以後裕宗紹豊元年元	Thị tuế Huỳnh Hoặc nhập Nam Đẩu lưu nhất nguyệt phương xuất [vị tường mỗ nguyệt.] Tân Tị thập tứ niên, [bát nguyệt dĩ hậu, Dụ Tông Thiệu Phong nguyên niên .
元至正元年春以阮忠彦為京師大尹〇	Nguyên Chí Chính nguyên niên,] xuân, dĩ Nguyễn Trung Ngạn vi Kinh sư đại doãn .
夏六月十一日帝崩于正寝權安殯	Hạ lục nguyệt, thập nhất nhật, Đế băng vu chính tẩm, quàn An Tấn..
于建昌宫廟號憲宗	vu Kiến Xương cung, miếu hiệu Hiến Tông.
史臣吳士連曰帝雖有天資之美然以弱齡嗣位國政皆出於上皇又若不及於政者所謂父在子不得自專也安得而議之哉	Sử thần Ngô Sĩ Liên viết: Đế tuy hữu thiên tư chi mĩ, nhiên dĩ nhược linh tự vị quốc chính giai xuất ư Thượng hoàng, hựu nhược bất cập ư chính giả, sở vị phụ tại tử bất đắc tự chuyên dã An đắc nhi nghị chi tai.
秋八月二十一日上皇迎皇子暭即皇帝位改元紹豊元年	Thu bát nguyệt, nhị thập nhất nhật, Thượng hoàng nghênh Hoàng tử hạo tức Hoàng đế vị, cải nguyên Thiệu Phong nguyên niên.
大赦	Đại xá.
稱裕皇	Xưng Dụ Hoàng.
群臣上尊號曰統天體道仁明光孝皇帝	Quần thần thượng tôn hiệu viết: Thống Thiên Thể Đạo Nhân Minh Quang Hiếu Hoàng Đế.
年甫六歲不立長子恭肃王昱者踈狂也〇	Niên phủ lục tuế Bất lập trưởng tử Cung Túc Vương Dục giả sơ cuồng dã .
命張漢超阮忠彦編定皇朝大典考撰刊書頒行	Mệnh Trương Hán Siêu, Nguyễn Trung Ngạn biên định Hoàng triều đại điển khảo soạn san thư phân hành.
裕宗皇帝諱暭明宗弟十子憲慈皇后所生也	Dụ Tông Hoàng Đế Huý hạo Minh Tông đệ thập tử, Hiến Từ Hoàng Hậu sở sinh dã.
在位二十八年壽三十四而崩塟阜陵	Tại vị nhị thập bát niên, thọ tam thập tứ nhi băng, táng Phụ Lăng .
帝至性聰睿學問高明武僃文脩四夷賓服紹豊之時政事畢擧大治之後	Đế chí tính thông duệ, học vấn cao minh, võ bị văn tu, tứ di tân phục. Thiệu Phong chi thời chính sự tất cử, Đại Trị chi hậu 
?𨒣無度陳家基業由此而衰衰壬午紹豊二年元至元二年春三月定文武雜流等官〇	hoang du vô độ, Trần gia cơ nghiệp do thử nhi suy,] Nhâm Ngọ Thiệu Phong nhị niên, [Nguyên Chí Nguyên nhị niên,] xuân tam nguyệt, định văn võ tạp lưu đẳng quan .
夏四月封上皇女玉瑳一作白瑳為天寕公主嫁正肃王堪一作興肃以恭靖王晫為太尉〇	Hạ tứ nguyệt, phong Thượng hoàng nữ Ngọc Tha [nhất tác Bạch tha,] vi Thiên Ninh công chúa giá Chính Túc Vương Kham [nhất tác Hưng Túc,] dĩ Cung Tịnh Vương trác vi Thái Uý .
五月占城國主制阿難卒	Ngũ nguyệt, Chiêm Thành quốc chủ Chế A Nan tốt.
??????????????〇	Nữ tế Trà Hoà Bố Để tự lập, khiến sứ nghệ khuyết cáo ai.
秋七月尊憲慈皇后為皇太后〇以張漢超為	Thu thất nguyệt, tôn Hiến Từ Hoàng Hậu vi Hoàng Thái Hậu . Dĩ Trương Hán Siêu vi..
左司郎中兼諒江經畧使	Tả ti lang trung kiêm Lượng Giang kinh lược sứ.
阮忠彦為行遣知樞𡧸院事	Nguyễn Trung Ngạn vi Hành khiển tri khu mật viện sự.
舊制禁軍属尚書省至是置樞𡧸以領之	Cựu chế cấm quân thuộc Thượng thư sảnh chí thị trí Khu mật dĩ lĩnh chi.
忠彦選諸路丁壮充禁軍鈌額定為籍簿樞	Trung Ngạn tuyển chư lộ đinh tráng sung cấm quân khuyết ngạch định vi tịch bạ Khu.
𡧸領禁軍自忠彦始〇	mật lĩnh cấm quân tự Trung Ngạn thuỷ .
上皇幸御史臺監察御史尹定阮汝為落職	Thượng hoàng hạnh Ngự sử đài, Giám sát ngự sử Doãn ĐỊnh, Nguyễn Nhữ vi lạc chức.
時重修御史臺成上皇凌晨駕幸獨御史中賛黎維陪侍	Thời trùng tu Ngự sử đài thành, Thượng hoàng lăng thần giá hạnh, độc Ngự sử trung tán Lê Duy bồi thị.
上皇還宫尹定阮汝為方至乃抗疏論上皇不可入臺仍劾黎維不能諫止辭甚激切	Thượng hoàng hoàn cung Doãn Định, Nguyễn Nhữ vi phương chí nãi kháng sớ luận Thượng hoàng bất khả nhập đài, những hặc Lê Duy bất năng gián, chỉ từ thậm khích thiết.
上皇靣論之曰御史臺乃宫殿之一	Thượng hoàng diện luận chi viết: Ngự sử đài nãi cung điện chi nhất.
未有宫殿而天子不可入耶且臺中舊有天子󰕖學處簿書	Vị hữu cung điện nhi thiên tử bất khả nhập da! Thả đài trung cựu hữu thiên tử giảng học xứ bạ thư..
祗候供奉筆硯在焉	chi hậu cúng phụng bút nghiên tại yên.
此天子入臺故事昔唐太宗觀實録况入臺乎定等猶力争数日不已	Thử Thiên tử nhập đài cố sự Tích Đường Thái Tông quan thực lục huống nhập đài hồ! Định đẳng do lực tranh số nhật bất dĩ.
帝論之再三亦不止乃落職〇	Đế luận chi tái tam diệc bất chỉ, nãi lạc chức .
冬十月以誕日為󰆑天節	Đông thập nguyệt, dĩ đản nhật vi Khánh Thiên tiết.
癸未三年元至正三年春二月上皇幸天長府〇	Quý Mùi tam niên, [Nguyên Chí Chính tam niên,] xuân nhị nguyệt, Thượng hoàng hạnh Thiên Trường phủ .
夏四月朔日食〇	Hạ tứ nguyệt, sóc, nhật thực .
五月六月旱	Ngũ nguyệt, lục nguyệt, hạn.
詔賜减今年人丁税之半〇	Chiếu tứ giảm kim niên nhân đinh thuế chi bán .
冬十一月一日欽慈皇太后崩〇	Đông thập nhất nguyệt, nhất nhật, Khâm Từ Hoàng Thái Hậu băng .
是〇凶荒民多為盗王侯家奴尤甚	Thị tuế, hung hoăng dân đa vi đạo, vương hầu gia nô vưu thậm.
甲申四年元至正四年春二月茶鄕人吳陛聚眾於安阜山為盗〇	Giáp Thân tứ niên, [Nguyên Chí Chính tứ niên,] xuân nhị nguyệt, Trà Hương nhân Ngô Bệ tụ chúng ư Yên Phụ sơn vi đạo .
改聖慈行遣司為尚書省官朝行遣	Cải Thánh Từ Hành khiển ti vi Thượng thư sảnh Quan Triều Hành khiển..
司仍舊門下省	ti những cựu Môn hạ sảnh.
置宣徽院大使副使	Trí Tuyên Huy viện đại sứ, phó sứ.
改登聞院檢法官為廷尉寺卿少卿	Cải Đăng Văn viện kiểm pháp quan vi Đình uý, Tự khanh, Thiếu khanh.
置勤農司屯田使副總路	Trí Cần nông ti đồn điền sứ phó tổng lộ.
置安撫使副屬州置通判	Trí an phủ sứ phó thuộc châu Trí Thông phán.
又設小路提刑漕司轉運職	Hựu thiết tiểu lộ đề hình Tào ti chuyên vận chức.
天長府置太府少府〇	Thiên Trường phủ trí Thái phủ, thiếu phủ .
復國父上宰國瑱官爵〇	Phục Quốc phụ Thượng tể Quốc Chẩn quan tước .
秋八月置諸路鋒團二十都遂捕盗刧〇	Thu bát nguyệt, trí chư lộ phong đoàn nhị thập đô toại bổ đạo kiếp .
十六日塟憲宗于建昌安陵	Thập lục nhật, táng Hiến Tông vu Kiến Xương An Lăng.
史臣吳士連曰天子七月而塟	Sử thần Ngô Sĩ Liên viết: Thiên tử thất nguyệt nhi táng.
昔周桓王七年始塟以周室有子儀黑肩之亂故也	Tích Chu Hoàn vương thất niên thuỷ táng, dĩ Chu thất hữu Tử Nghi, Hắc Kiên chi loạn cố dã.
憲宗至是始塟四年矣未聞有故也	Hiến Tông chí thị thuỷ táng tứ niên hĩ, vị văn hữu cố dã.
盖有上皇而從其命	Cái hữu Thượng hoàng nhi tòng kì mệnh..
歟然當時未聞以禮爭者	dư nhiên đương thời vị văn dĩ lễ tranh giả.
是歲凶荒民多為僧又為世家奴	Thị tuế, hung hoăng dân đa vi tăng, hựu vi thế gia nô.
乙酉五年元至正五年春二月試太學生	Ất Dậu ngũ niên, [Nguyên Chí Chính ngũ niên,] xuân nhị nguyệt, thí Thái học sinh.
試法用暗寫古文經義試賦〇	Thí pháp dụng ám tả, cổ văn, kinh nghĩa, thi phú .
夏四月五月旱	Hạ tứ nguyệt, ngũ nguyệt, hạn.
詔錄囚减雜犯罪〇	Chiếu lục tù, giảm tạp phạm tội .
秋八月元使王士衡來問銅柱事	Thu bát nguyệt, Nguyên sử Vương Sĩ Hoành lai vấn đồng trụ sự.
遣范師孟徃辨之	Khiến Phạm Sư Mạnh vãng biện chi.
按是歲元國處處盗起且後年九月師孟受命迁陞何徃返之速此事未必有菇存之〇	[Án thị tuế Nguyên quốc xứ xứ đạo khởi, thả hậu niên cửu nguyệt Sư Mạnh thụ mệnh thiên thăng, hà vãng phản chi tốc Thử sự vị tất hữu. Cô tồn chi,] .
冬十一月以張漢超為左諫議大夫〇	Đông thập nhất nguyệt, dĩ Trương Hán Siêu vi Tả gián nghị đại phu .
差軍人捕吳陛於安阜山陛眾迯散	Sai quân nhân bổ Ngô Bệ ư Yên Phụ sơn, Bệ chúng đào tán.
丙戌六年元至正六年春二月朔日食〇	Bính Tuất lục niên, [Nguyên Chí Chính lục niên,] xuân nhị nguyệt, sóc, nhật thực .
遣范元恒使	Khiến Phạm Nguyên Hằng sứ..
占城責問𮞏年朝貢缺禮〇	Chiêm Thành trách vấn đệ niên triều cống khuyết lễ .
夏五月哀牢冦邊	Hạ ngũ nguyệt, Ai Lao khấu biên.
命保威王𤩽擊破之獲人畜甚眾〇	Mệnh Bảo Uy vương hiến kích phá chi, hoạch nhân súc thậm chúng .
秋九月以范師孟為掌簿書兼樞𡧸參政冬	Thu cửu nguyệt, dĩ Phạm Sư Mạnh vi Chưởng bạ thư kiêm Khu mật tham chính .
冬十月占城遣使來貢禮物甚簿	Đông thập nguyệt, Chiêm Thành khiến sứ lai cống lễ vật thậm bạc.
丁亥七年元至正七年春正月朔日食〇	Đinh Hợi thất niên, [Nguyên Chí Chính thất niên,] xuân chính nguyệt, sóc, nhật thực .
夏六月保威王𤩽有罪出為望江鎮驃騎将軍尋殺之長安路萬女江	Hạ lục nguyệt, Bảo Uy vương hiến hữu tội xuất vi Vọng Giang trấn, Phiêu kị tướng quân tầm sát chi Trường An lộ Vạn Nữ giang.
國𥘉宋商舶來進小人國人身長七寸其聲似蝇不通言語又進火浣布一疋價錢每尺三百鏹留傳為貴物後制為御服制差短藏之内府	Quốc sơ, Tống thương bách lai tiến Tiểu Nhân quốc nhân, thân trường thất thốn, kì thanh tự dăng bất thông ngôn ngữ, hựu tiến Hoả hoãn bố, nhất thất giá tiền mỗi xích tam bách cưỡng, lưu truyền vi quý vật, hậu chế vi ngự phục, chế sai đoản, tàng chi nội phủ..
保威私於宫人竊之	Bảo Uy tư ư cung nhân thiết chi.
一日裡其衣入朝	Nhất nhật, lí kì y nhập triều.
上皇前奏對露出袖口	Thượng hoàng tiền tấu đối lộ xuất tụ khẩu.
上皇見而疑之使人檢閲果失所藏	Thượng hoàng kiến nhi nghi chi, sử nhân kiểm duyệt, quả thất sở tàng.
宫人令老婢就保威家取之潜将入宫進呈	Cung nhân lệnh lão tì tựu Bảo Uy gia thủ chi tiềm tương nhập cung tiến trình.
上皇不忍戮出之外鎮	Thượng hoàng bất nhẫn lục xuất chi, ngoại trấn.
行至萬女江令武士駕輕舟追殺之投其屍沙中而還降為保威侯〇	Hành chí Vạn Nữ giang, lệnh võ sĩ giá khinh chu truy sát chi, đầu kì thi sa trung nhi hoàn giáng vi Bảo Uy hầu .
秋八月惇慈皇太后黎氏崩〇	Thu bát nguyệt, Đôn Từ Hoàng Thái Hậu Lê thị băng .
恭敏王元昫卒	Cung Mẫn Vương Nguyên Hú tốt.
戊子八年元至正八年春正月以御前學生杜子平為侍󰕖〇	Mậu Tí bát niên, [Nguyên Chí Chính bát niên,] xuân chính nguyệt, dĩ Ngự tiền học sinh Đỗ Tử Bình vi thị giảng .
夏五月旱〇	Hạ ngũ nguyệt, hạn .
秋七月大水〇	Thu thất nguyệt, đại thuỷ .
冬十月闍蒲國商舶至雲屯海庄潜買𧓍𧓍音駢珠也朱又音朱亦作黿珠雲	Đông thập nguyệt, Đồ Bồ quốc thương bách chí Vân Đồn hải trang, tiềm mãi tân [tân âm biền châu dã, châu hựu âm chu diệc tác ngoan.] châu Vân..
屯人多偷氽珠與之	Đồn nhân đa thâu thộn châu dữ chi.
事覺俱扺罪〇	Sự giác cụ chỉ tội .
元方谷珍起兵作亂	Nguyên Phương Cốc Trân khởi binh tác loạn.
己丑九年元至正九年春三月北方商舶來貢鷂變鉢	Kỉ Sửu cửu niên, [Nguyên Chí Chính cửu niên,] xuân tam nguyệt, Bắc phương thương bách lai cống Diêu Biến bát.
宋末杭州人燒鉢爐将熟見一飛鷂過爐上遣屎爐中化成玉鉢故名之〇	[Tống mạt, Hàng Châu nhân thiêu bát lư tương thục kiến nhất phi diêu quá lư thượng, khiến thỉ lư trung hoá thành ngọc bát, cố danh chi.] .
夏五月大哇國來貢方物及能言赤󰢒鵡〇	Hạ ngũ nguyệt, Đại Oa quốc lai cống phương vật, cập năng ngôn xích anh vũ .
冬十月册平章惠肅王第四女懿慈公主為儀聖皇后〇	Đông thập nguyệt, sách Bình Chương Huệ Túc vương đệ tứ nữ Ý Từ công chúa vi Nghi Thánh Hoàng Hậu .
十一月朔日食〇	Thập nhất nguyệt, sóc, nhật thực .
設雲屯鎮鎮官路官察海使及置平海軍以鎮之	Thiết Vân Đồn trấn trấn quan lộ quan sát hải sứ, cập trí Bình Hải quân dĩ trấn chi.
先是李朝時商舶來則入自演州他員等海門	Tiên thị, Lí triều thời thương bách lai tắc nhập tự Diễn Châu, Tha Viên đẳng hải môn.
至是海道遷移海門淺涸多聚雲屯故有	Chí thị, hải đạo thiên di hải môn thiển hạc đa tụ Vân Đồn, cố hữu..
是命	thị mệnh.
庚寅十年元至正十年春正月元人有丁龎德者因其國亂挈家駕海船來奔	Canh Dần thập niên, [Nguyên Chí Chính thập niên,] xuân chính nguyệt, Nguyên nhân hữu Đinh Bàng Đức giả nhân kì quốc loạn khiết gia giá hải thuyền lai bôn.
善緣竿為俳優𰙔舞	Thiện duyên can vi bài ưu ca vũ.
國人效之為險竿舞險干枝自此始〇	Quốc nhân hiệu chi vi hiểm can vũ, hiểm can chi tự thử thuỷ .
恭簡王元晟卒〇	Cung Giản Vương Nguyên thạch tốt .
元徐壽輝起兵稱帝國内大亂	Nguyên Từ Thọ huy khởi binh xưng Đế, quốc nội đại loạn.
辛卯十一年元至正十一年春正月太原諒山人聚為盗相攻擊	Tân Mão thập nhất niên, [Nguyên Chí Chính thập nhất niên,] xuân chính nguyệt, Thái Nguyên Lạng Sơn nhân tụ vi đạo tương công kích.
